url,state,city,address_slug,store_id,full_address,zip_code
https://locations.tacobell.com/ar/mountain-home/833-highway-62-e.html,ar,mountain-home,833-highway-62-e,027034,"833 Highway 62 E, Mountain Home, AR 72653",72653
https://locations.tacobell.com/al/saraland/827-hwy-43-s.html,al,saraland,827-hwy-43-s,023764,"827 Hwy 43 S, Saraland, AL 36571",36571
https://locations.tacobell.com/ar/greenwood/820-west-center.html,ar,greenwood,820-west-center,030891,"820 West Center, Greenwood, AR 72936",72936
https://locations.tacobell.com/ar/little-rock/8108-geyer-springs-rd.html,ar,little-rock,8108-geyer-springs-rd,004368,"8108 Geyer Springs Rd, Little Rock, AR 72209",72209
https://locations.tacobell.com/ar/brookland/8039-hwy-49-north.html,ar,brookland,8039-hwy-49-north,031421,"8039 Hwy 49 North, Brookland, AR 72417",72417
https://locations.tacobell.com/ar/white-hall/8011-sheridan-road.html,ar,white-hall,8011-sheridan-road,029604,"8011 Sheridan Road, White Hall, AR 71602",71602
https://locations.tacobell.com/al/albertville/7959-us-highway-431.html,al,albertville,7959-us-highway-431,029137,"7959 US Highway 431, Albertville, AL 35950",35950
https://locations.tacobell.com/al/madison/7940-highway-72-west.html,al,madison,7940-highway-72-west,029152,"7940 Highway 72 West, Madison, AL 35758",35758
https://locations.tacobell.com/ar/fort-smith/7910-rogers-ave.html,ar,fort-smith,7910-rogers-ave,003997,"7910 Rogers Ave, Fort Smith, AR 72903",72903
https://locations.tacobell.com/al/mobile/7730-airport-blvd.html,al,mobile,7730-airport-blvd,023770,"7730 Airport Blvd, Mobile, AL 36608",36608
https://locations.tacobell.com/ak/fairbanks/87-college-rd.html,ak,fairbanks,87-college-rd,002309,"87 College Rd, Fairbanks, AK 99701",99701
https://locations.tacobell.com/ar/west-helena/761-north-sebastian-street.html,ar,west-helena,761-north-sebastian-street,032034,"761 North Sebastian Street, West Helena, AR 72390",72390
https://locations.tacobell.com/al/lincoln/75835-highway-77.html,al,lincoln,75835-highway-77,042159,"75835 Highway 77, Lincoln, AL 35096",75835
https://locations.tacobell.com/ar/sherwood/7201-jfk-blvd.html,ar,sherwood,7201-jfk-blvd,002401,"7201 JFK Blvd, Sherwood, AR 72120",72120
https://locations.tacobell.com/ar/little-rock/719-south-broadway.html,ar,little-rock,719-south-broadway,017278,"719 South Broadway, Little Rock, AR 72201",72201
https://locations.tacobell.com/ar/booneville/711-e--main.html,ar,booneville,711-e--main,G135604,"711 E. Main, Booneville, AR 72927",72927
https://locations.tacobell.com/al/rainsville/71-mccurdy-ave-n.html,al,rainsville,71-mccurdy-ave-n,027310,"71 McCurdy Ave N, Rainsville, AL 35986",35986
https://locations.tacobell.com/al/mobile/6301-cottage-hill-road.html,al,mobile,6301-cottage-hill-road,023766,"6301 Cottage Hill Road, Mobile, AL 36609",36609
https://locations.tacobell.com/ar/harrison/629-highway-6265-north.html,ar,harrison,629-highway-6265-north,003604,"629 Highway 6265 North, Harrison, AR 72601",72601
https://locations.tacobell.com/al/bay-minette/621-mcmeans-ave.html,al,bay-minette,621-mcmeans-ave,023772,"621 McMeans Ave, Bay Minette, AL 36507",36507
https://locations.tacobell.com/ar/dardanelle/618-union-st.html,ar,dardanelle,618-union-st,029378,"618 Union St, Dardanelle, AR 72834",72834
https://locations.tacobell.com/al/fort-payne/610-glenn-blvd-sw.html,al,fort-payne,610-glenn-blvd-sw,027305,"610 Glenn Blvd SW, Fort Payne, AL 35967",35967
https://locations.tacobell.com/ar/rogers/604-s-8th-street.html,ar,rogers,604-s-8th-street,003280,"604 S 8th Street, Rogers, AR 72756",72756
https://locations.tacobell.com/al/enterprise/602-boll-weevil-circle.html,al,enterprise,602-boll-weevil-circle,036372,"602 Boll Weevil Circle, Enterprise, AL 36330",36330
https://locations.tacobell.com/ar/little-rock/600-south-bowman-road.html,ar,little-rock,600-south-bowman-road,016176,"600 South Bowman Road, Little Rock, AR 72211",72211
https://locations.tacobell.com/ar/walnut-ridge/600-hwy-67-b.html,ar,walnut-ridge,600-hwy-67-b,032480,"600 Hwy 67 B, Walnut Ridge, AR 72476",72476
https://locations.tacobell.com/al/atmore/5920-hwy-21.html,al,atmore,5920-hwy-21,030463,"5920 Hwy 21, Atmore, AL 36502",36502
https://locations.tacobell.com/al/wetumpka/5903-us-hwy-231.html,al,wetumpka,5903-us-hwy-231,036486,"5903 US Hwy 231, Wetumpka, AL 36092",36092
https://locations.tacobell.com/al/gadsden/579-e--meighan-boulevard.html,al,gadsden,579-e--meighan-boulevard,J466006,"579 E. Meighan Boulevard, Gadsden, AL 35903",35903
https://locations.tacobell.com/al/hokes-bluff/5692-highway-278-east.html,al,hokes-bluff,5692-highway-278-east,J466003,"5692 Highway 278 East, Hokes Bluff, AL 35903",35903
https://locations.tacobell.com/ar/alma/541-highway-71-n.html,ar,alma,541-highway-71-n,005549,"541 Highway 71 N, Alma, AR 72921",72921
https://locations.tacobell.com/al/mobile/5392-hwy-90-west.html,al,mobile,5392-hwy-90-west,023768,"5392 Hwy 90 West, Mobile, AL 36619",36619
https://locations.tacobell.com/al/montgomery/5380-atlanta-hwy.html,al,montgomery,5380-atlanta-hwy,036482,"5380 Atlanta Hwy, Montgomery, AL 36109",36109
https://locations.tacobell.com/al/montgomery/5163-carmichael-rd.html,al,montgomery,5163-carmichael-rd,036485,"5163 Carmichael Rd, Montgomery, AL 36106",36106
https://locations.tacobell.com/ar/stuttgart/512-w--22nd-street.html,ar,stuttgart,512-w--22nd-street,009571,"512 W. 22nd Street, Stuttgart, AR 72160",72160
https://locations.tacobell.com/ar/van-buren/511-north-plaza-dr.html,ar,van-buren,511-north-plaza-dr,030898,"511 North Plaza Dr, Van Buren, AR 72956",72956
https://locations.tacobell.com/ar/trumann/504-hwy--63.html,ar,trumann,504-hwy--63,L518084,"504 Hwy. 63, Trumann, AR 72472",72472
https://locations.tacobell.com/al/mobile/5000-moffett-rd.html,al,mobile,5000-moffett-rd,023771,"5000 Moffett Rd, Mobile, AL 36618",36618
https://locations.tacobell.com/ar/fort-smith/4910-towson-avenue.html,ar,fort-smith,4910-towson-avenue,002439,"4910 Towson Avenue, Fort Smith, AR 72901",72901
https://locations.tacobell.com/ar/little-rock/4424-markham-road.html,ar,little-rock,4424-markham-road,030902,"4424 Markham Road, Little Rock, AR 72205",72205
https://locations.tacobell.com/ak/soldotna/43845-sterling-hwy.html,ak,soldotna,43845-sterling-hwy,015852,"43845 Sterling Hwy, Soldotna, AK 99669",43845
https://locations.tacobell.com/ar/monticello/435-highway-425-north.html,ar,monticello,435-highway-425-north,029602,"435 Highway 425 North, Monticello, AR 71655",71655
https://locations.tacobell.com/ar/springdale/4322-west-sunset.html,ar,springdale,4322-west-sunset,016275,"4322 West Sunset, Springdale, AR 72762",72762
https://locations.tacobell.com/al/huntsville/4315-university-dr-nw.html,al,huntsville,4315-university-dr-nw,029159,"4315 University Dr NW, Huntsville, AL 35816",35816
https://locations.tacobell.com/al/prattville/411-s-memorial-dr.html,al,prattville,411-s-memorial-dr,036483,"411 S Memorial Dr, Prattville, AL 36067",36067
https://locations.tacobell.com/ar/springdale/406-s--thompson.html,ar,springdale,406-s--thompson,003271,"406 S. Thompson, Springdale, AR 72764",72764
https://locations.tacobell.com/ar/mena/403-highway-71-n.html,ar,mena,403-highway-71-n,L518050,"403 Highway 71 N, Mena, AR 71953",71953
https://locations.tacobell.com/ar/hot-springs/4016-central-ave.html,ar,hot-springs,4016-central-ave,021495,"4016 Central Ave, Hot Springs, AR 71913",71913
https://locations.tacobell.com/ar/greenbrier/4-n-broadview-st.html,ar,greenbrier,4-n-broadview-st,018019,"4 N Broadview St, Greenbrier, AR 72058",72058
https://locations.tacobell.com/ar/north-little-rock/3900-mccain-blvd.html,ar,north-little-rock,3900-mccain-blvd,021504,"3900 McCain Blvd, North Little Rock, AR 72116",72116
https://locations.tacobell.com/al/mobile/3843-airport-blvd.html,al,mobile,3843-airport-blvd,026246,"3843 Airport Blvd, Mobile, AL 36608",36608
https://locations.tacobell.com/al/alexander-city/3779-highway-280.html,al,alexander-city,3779-highway-280,029107,"3779 Highway 280, Alexander City, AL 35010",35010
https://locations.tacobell.com/ar/pine-bluff/3501-camden-rd.html,ar,pine-bluff,3501-camden-rd,029600,"3501 Camden Rd, Pine Bluff, AR 71603",71603
https://locations.tacobell.com/al/thomasville/33951-hwy-43-north.html,al,thomasville,33951-hwy-43-north,032323,"33951 Hwy 43 North, Thomasville, AL 36784",33951
https://locations.tacobell.com/ar/searcy/3307-e-race.html,ar,searcy,3307-e-race,002552,"3307 E Race, Searcy, AR 72143",72143
https://locations.tacobell.com/al/roanoke/3221-hwy-431.html,al,roanoke,3221-hwy-431,032206,"3221 Hwy 431, Roanoke, AL 36274",36274
https://locations.tacobell.com/al/scottsboro/308-county-park-rd.html,al,scottsboro,308-county-park-rd,030272,"308 County Park Rd, Scottsboro, AL 35768",35768
https://locations.tacobell.com/al/dothan/3056-ross-clark-cir.html,al,dothan,3056-ross-clark-cir,036369,"3056 Ross Clark Cir, Dothan, AL 36301",36301
https://locations.tacobell.com/al/spanish-fort/30500-state-hwy-181.html,al,spanish-fort,30500-state-hwy-181,024984,"30500 State Hwy 181 F, Spanish Fort, AL 36527",30500
https://locations.tacobell.com/al/selma/303-w-highland-ave.html,al,selma,303-w-highland-ave,036481,"303 W Highland Ave, Selma, AL 36701",36701
https://locations.tacobell.com/ar/russellville/301-n--elmira-ave-.html,ar,russellville,301-n--elmira-ave-,025445,"301 N. Elmira Ave., Russellville, AR 72802",72802
https://locations.tacobell.com/ar/newport/301-highway-67-n.html,ar,newport,301-highway-67-n,005118,"301 Highway 67 N, Newport, AR 72112",72112
