url,state,city,address_slug
https://locations.tacobell.com/co/fort-collins/1527-w--elizabeth-st-.html,co,fort-collins,1527-w--elizabeth-st-
https://locations.tacobell.com/ct/manchester/1524-pleasant-valley-rd-.html,ct,manchester,1524-pleasant-valley-rd-
https://locations.tacobell.com/co/aurora/15160-e-mississippi.html,co,aurora,15160-e-mississippi
https://locations.tacobell.com/co/colorado-springs/1507-s-nevada-ave.html,co,colorado-springs,1507-s-nevada-ave
https://locations.tacobell.com/co/lakewood/1505-s-kipling-pkwy.html,co,lakewood,1505-s-kipling-pkwy
https://locations.tacobell.com/de/bear/1501-governors-place.html,de,bear,1501-governors-place
https://locations.tacobell.com/ct/milford/1463-boston-post-rd.html,ct,milford,1463-boston-post-rd
https://locations.tacobell.com/co/aurora/14551-e-colfax.html,co,aurora,14551-e-colfax
https://locations.tacobell.com/co/colorado-springs/1380-n-academy-blvd.html,co,colorado-springs,1380-n-academy-blvd
https://locations.tacobell.com/co/thornton/13732-colorado-blvd-.html,co,thornton,13732-colorado-blvd-
https://locations.tacobell.com/ct/old-greenwich/1371-e-putnam-ave.html,ct,old-greenwich,1371-e-putnam-ave
https://locations.tacobell.com/co/loveland/1330-lincoln-ave.html,co,loveland,1330-lincoln-ave
https://locations.tacobell.com/ct/willimantic/1320-main-st.html,ct,willimantic,1320-main-st
https://locations.tacobell.com/co/lakewood/13109-w--alameda-pkwy.html,co,lakewood,13109-w--alameda-pkwy
https://locations.tacobell.com/co/fort-morgan/1305-main-st.html,co,fort-morgan,1305-main-st
https://locations.tacobell.com/co/cortez/1300-east-main-street.html,co,cortez,1300-east-main-street
https://locations.tacobell.com/co/thornton/1298-east-104th-avenue.html,co,thornton,1298-east-104th-avenue
https://locations.tacobell.com/ct/vernon-rockville/129-talcottville-rd.html,ct,vernon-rockville,129-talcottville-rd
https://locations.tacobell.com/co/denver/1265-s-colorado-blvd.html,co,denver,1265-s-colorado-blvd
https://locations.tacobell.com/ct/bristol/1250-farmington-ave-.html,ct,bristol,1250-farmington-ave-
https://locations.tacobell.com/co/arvada/12480-west-64th-avenue.html,co,arvada,12480-west-64th-avenue
https://locations.tacobell.com/co/fort-collins/1227-e--magnolia.html,co,fort-collins,1227-e--magnolia
https://locations.tacobell.com/co/broomfield/1220-e-1st-ave.html,co,broomfield,1220-e-1st-ave
https://locations.tacobell.com/co/colorado-springs/1208-interquest-parkway.html,co,colorado-springs,1208-interquest-parkway
https://locations.tacobell.com/co/pueblo/1200-southgate-place.html,co,pueblo,1200-southgate-place
https://locations.tacobell.com/co/lakewood/11701-w-colfax.html,co,lakewood,11701-w-colfax
https://locations.tacobell.com/de/new-castle/116-north-dupont-highway.html,de,new-castle,116-north-dupont-highway
https://locations.tacobell.com/co/loveland/115-65th-st-.html,co,loveland,115-65th-st-
https://locations.tacobell.com/co/canon-city/1112-royal-gorge-blvd.html,co,canon-city,1112-royal-gorge-blvd
https://locations.tacobell.com/co/parker/10832-s-crossroads-dr.html,co,parker,10832-s-crossroads-dr
https://locations.tacobell.com/ct/watertown/1074-main-street.html,ct,watertown,1074-main-street
https://locations.tacobell.com/co/aurora/10750-east-colfax-avenue.html,co,aurora,10750-east-colfax-avenue
https://locations.tacobell.com/co/dumont/1073-county-hwy-308.html,co,dumont,1073-county-hwy-308
https://locations.tacobell.com/co/bennett/1065-s--1st-street.html,co,bennett,1065-s--1st-street
https://locations.tacobell.com/co/henderson/10402-s-belle-creek-drive.html,co,henderson,10402-s-belle-creek-drive
https://locations.tacobell.com/co/colorado-springs/1030-academy-park-loop.html,co,colorado-springs,1030-academy-park-loop
https://locations.tacobell.com/ct/east-hartford/1-main-st.html,ct,east-hartford,1-main-st
https://locations.tacobell.com/co/montrose/1300-e--main-street.html,co,montrose,1300-e--main-street
https://locations.tacobell.com/co/colorado-springs/7857-woodmen-center-heights.html,co,colorado-springs,7857-woodmen-center-heights
https://locations.tacobell.com/co/berthoud/1279-grand-market-ave.html,co,berthoud,1279-grand-market-ave
