item_id,name,category,is_breakfast,is_drink,serving_weight_grams,calories,fat_calories,total_fat,saturated_fat,trans_fat,polyunsaturated_fat,monounsaturated_fat,cholesterol,sodium,total_carb,fibers,sugars,protein
390514,Boulevard Unfiltered Wheat Beer (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390515,Boulevard Unfiltered Wheat Beer (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390516,Boulevard Unfiltered Wheat Beer 100 (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390517,Boulevard Unfiltered Wheat Beer 100 (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390518,Boulevard Space Camper Cosmic IPA (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390519,Boulevard Space Camper Cosmic IPA (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390520,Boulevard Cherry Blossom and Lime (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390521,Boulevard Cherry Blossom and Lime (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390522,Black Abbey - The Rose (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390523,Black Abbey - The Rose (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390524,Angry Orchard - Crisp Apple (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390525,Angry Orchard - Crisp Apple (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392203,Breaking Bud (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392204,Breaking Bud (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392205,Kansas City Helles (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392206,Kansas City Helles (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392207,Kansas City Dunkel (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392208,Kansas City Dunkel (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392738,Mtn Dew Baja Blast Twisted Freeze (32 oz),Freeze Test Items,0,1,56.7,130.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397802,Hard Mtn Dew - Original (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397803,Hard Mtn Dew - Original (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397804,Hard Mtn Dew - Black Cherry (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397805,Hard Mtn Dew - Black Cherry (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397806,Hard Mtn Dew - Baja Blast (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397807,Hard Mtn Dew - Baja Blast (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397808,Hard Mtn Dew - Watermelon (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397809,Hard Mtn Dew - Watermelon (24 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406517,Sierra Nevada Hazy Little Thing IPA (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406518,Sierra Nevada Hazy Little Thing IPA (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409050,Sour Cream (0.6 oz),Side Portions - Hidden,0,0,14.17,18.36,10.96,1.22,0.78,0.04,0.04,0.28,3.73,13.14,1.44,0.05,0.54,0.41
409051,Creamy Jalapeno Sauce (0.5 oz),Side Portions - Hidden,0,0,14.17,76.47,57.81,6.38,1.53,0.01,3.07,1.44,3.5,54.57,0.9,0.23,0.46,0.31
409052,Guacamole (0.8 oz),Side Portions - Hidden,0,0,22.68,41.64,31.21,3.76,0.67,0.03,1.03,2.04,0.0,82.27,1.57,0.94,0.33,0.39
409053,Creamy Chipotle Sauce (0.5 oz),Side Portions - Hidden,0,0,14.17,74.74,73.06,8.12,1.26,0.02,4.78,1.7,8.07,70.38,0.24,0.05,0.14,0.18
409054,Avocado Ranch Sauce (0.5 oz),Side Portions - Hidden,0,0,14.17,78.42,74.23,8.25,1.29,0.02,4.72,1.86,6.26,91.24,0.78,0.12,0.34,0.26
409055,Spicy Ranch Sauce (0.5 oz),Side Portions - Hidden,0,0,14.17,71.61,67.75,7.53,1.22,0.02,4.35,1.6,6.86,64.64,0.68,0.05,0.42,0.28
410272,$2 Nachos - Classic,Test Items,0,0,181.44,480.37,198.84,26.26,5.52,0.13,5.75,14.58,15.59,639.28,50.74,7.15,2.99,10.47
415961,ICEE Twisted Freeze (20 oz),Freeze Test Items,0,1,28.35,65.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417116,Guacamole (6.4 oz),Side Portions - Hidden,0,0,181.44,333.08,249.68,30.06,5.33,0.22,8.21,16.33,0.0,658.18,12.56,7.51,2.68,3.09
417117,Spicy Ranch (6 oz),Side Portions - Hidden,0,0,170.1,859.33,812.96,90.32,14.7,0.29,52.15,19.17,82.33,775.64,8.16,0.65,5.0,3.42
417118,Sour Cream (4.8 oz),Side Portions - Hidden,0,0,113.4,146.86,87.71,9.75,6.25,0.35,0.35,2.25,29.84,105.09,11.53,0.36,4.34,3.25
417119,Creamy Chipotle Sauce (6 oz),Side Portions - Hidden,0,0,170.1,896.84,876.73,97.41,15.07,0.26,57.36,20.43,96.79,844.53,2.89,0.56,1.68,2.13
417120,Avocado Ranch Sauce (6 oz),Side Portions - Hidden,0,0,170.1,941.1,890.81,98.98,15.46,0.26,56.66,22.27,75.13,1094.86,9.41,1.45,4.05,3.13
417121,Creamy Jalapeno Sauce (6 oz),Side Portions - Hidden,0,0,170.1,917.68,693.72,76.6,18.3,0.16,36.79,17.32,41.97,654.89,10.84,2.82,5.52,3.71
417122,Nacho Cheese Sauce (5.6 oz),Side Portions - Hidden,0,0,158.76,228.16,160.31,16.55,1.83,0.0,4.97,8.98,2.99,844.19,17.3,0.69,3.64,2.49
417132,Steak Taco,Test Items,0,0,106.31,203.91,87.57,9.79,3.83,0.06,2.89,2.69,30.53,554.13,17.31,1.35,2.29,11.83
420115,Breakfast Crunchwrap - Sausage Patty,INM Breakfast,1,0,229.63,753.98,400.87,49.39,16.72,0.2,11.77,19.93,149.79,1209.64,53.1,4.23,3.03,20.74
420778,Mtn Dew Baja Blast Twisted Freeze - Fermented Vodka (32 oz),Freeze Test Items,0,1,59.08,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
420779,Mtn Dew Baja Blast Twisted Freeze - Fermented Rum (32 oz),Freeze Test Items,0,1,59.08,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,2.6,0.0
420780,Mtn Dew Baja Blast Twisted Freeze - Fermented Tequila (32 oz),Freeze Test Items,0,1,59.08,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
420790,Bud Light Bottle (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420791,Budweiser Bottle (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420792,Heineken Bottle (12 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420793,Michelob Ultra Bottle (16 oz),"Cantina Beer, Wine and Spirits",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
