canonical_product_id,product_code,item_id,category,name_nutrition,category_nutrition,match_confidence,match_method
458ae2f6e98f872e,22763,314994,sides-sweets,Mild Sauce Packet (V),Sides & Sweets,0.85,rule
19d81fbfd541fce3,22760,314995,sides-sweets,Hot Sauce Packet (V),Sides & Sweets,0.85,rule
41102063b2c53d05,22759,314996,sides-sweets,Fire Sauce Packet (V),Sides & Sweets,0.85,rule
17dcc6cdd28b92e2,22765,314997,sides-sweets,Diablo Sauce Packet (V),Sides & Sweets,0.85,rule
eaddbc545b3386a6,22746,354896,sides-sweets,Chips and Nacho Cheese Sauce,Veggie Cravings,0.85,rule
efa76a34651768ac,22722,417120,sides-sweets,Avocado Ranch Sauce (6 oz),Side Portions - Hidden,0.7,rule_lo
eb731d59a46931a2,22749,627382,sides-sweets,Mexican Pizza Sauce (2 oz),Side Portions - Hidden,0.7,rule_lo
91799b88b123d834,29132,166734,bowls,Veggie Bowl,Veggie Cravings,1.1,rule
32e8c2cecbb43d07,22259,166840,best-sellers,Spicy Potato Soft Taco,Veggie Cravings,1.1,rule
a2cb87e31453e4ee,1504Main,854340,new,Vanilla Cream Soda Freeze&trade; (20 oz),New,0.671,rule_lo
8f05ae3b5a23fbd6,1496Main,854337,new,Orange Vanilla Cream Soda Freeze&trade; (20 oz),New,0.725,rule_lo
16cccc20ae6f956f,22530,360540,cravings-value-menu,Cheesy Fiesta Potatoes,Veggie Cravings,1.1,rule
0087c47d4000c19d,26136,423320,deals-and-combos,Cantina Chicken Crispy Taco,Cantina Chicken Menu,0.8,rule
944c2416942c6db2,26138,423325,deals-and-combos,Cantina Chicken Burrito,Cantina Chicken Menu,0.75,rule_lo
a44c71a3f9801df2,26137,423321,deals-and-combos,Cantina Chicken Quesadilla,Cantina Chicken Menu,0.75,rule_lo
4e0f114fa55b7ca0,26126,166804,deals-and-combos,Mexican Pizza,Specialties,1.1,rule
bc3241ee35862e36,26125,166758,deals-and-combos,Quesadilla - Chicken,INM Quesadillas,1.0,rule
1e741633219bc816,26127,166771,deals-and-combos,Crunchwrap Supreme&reg;,Specialties,0.767,rule_lo
16e2d13717e163d5,26128,166812,deals-and-combos,Nachos BellGrande&reg;,Nachos,0.767,rule_lo
3af7e6709cf45d6e,30179,282320,breakfast,Cheesy Toasted Breakfast Burrito - Bacon,INM Breakfast,1.1,rule
86d74f0d8528838a,30180,282319,breakfast,Cheesy Toasted Breakfast Burrito - Sausage,INM Breakfast,1.1,rule
ba6cb634f7dfdd37,30181,315242,breakfast,Cheesy Toasted Breakfast Burrito,Breakfast (Regional),0.8,rule
8f4bba304864656f,30187,282325,breakfast,Grande Toasted Breakfast Burrito - Steak,INM Breakfast,1.1,rule
9223998aebf85cf8,30186,282327,breakfast,Grande Toasted Breakfast Burrito - Sausage,INM Breakfast,1.1,rule
