canonical_product_id,product_code,base_name,menu_category,reason,best_item_id,best_name,best_score
23db53e393f56f7f,23486,build your own meal for 4,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
c3c8c44ca7e05090,24585,cantina luxe,new,no_match,423321,Cantina Chicken Quesadilla,0.25
edd004017b567226,5283Main,caramel apple empanada chiller,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
baf1fb37b019f056,3721Main,caramel dulce churro chiller,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
c505be4f7ea7282d,3679Main,celsius energy peach vibe,new,no_match,829826,Mango Peach Limonada,0.167
8d693853e522e7de,3678Main,celsius sparkling orange,new,no_match,216629,Prosecco Sparkling Wine (350 mL),0.167
8a4bbff674ac3583,23575,cheesy melt grilled steak burrito,new,low_confidence,420881,Grilled Cheese Burrito - Steak,0.5
ee1cf8f68865930b,27040,cheesy street chalupas,new,no_match,166743,Cheesy Roll Up,0.2
1bb267d6cee18d67,27037,cheesy street chalupas,new,no_match,166743,Cheesy Roll Up,0.2
f12cf6c226f73fa0,23576,chipotle ranch grilled steak burrito,new,low_confidence,420881,Grilled Cheese Burrito - Steak,0.5
002583e4d2a12387,3672Main,cinnabon caramel hot coffee,new,no_match,166765,Cinnabon&reg; Delights&trade; (12 Pack - Serves 4),0.2
1f525df66544edba,3664Main,cinnabon caramel iced coffee,new,no_match,166765,Cinnabon&reg; Delights&trade; (12 Pack - Serves 4),0.2
51be9eefaf2ce5b0,3733Main,cinnabon caramel latte chiller,new,no_match,166765,Cinnabon&reg; Delights&trade; (12 Pack - Serves 4),0.2
531bfaad71a7420b,2388Main,confetti cookie freeze,new,no_match,313546,Dragonfruit Freeze&reg; (16 oz),0.2
d486fee57cd26da5,29414,crispy chicken nuggets deluxe,new,no_match,423320,Cantina Chicken Crispy Taco,0.333
b895735bc3192a11,29416,crispy chicken nuggets deluxe,new,no_match,423320,Cantina Chicken Crispy Taco,0.333
a0ec5c2c025bb885,29011,crispy chicken strips,new,no_match,423320,Cantina Chicken Crispy Taco,0.4
2110e5cc6a68142f,28174,deluxe cravings,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
aea141e06fdc5192,29442,diablo crispy chicken nuggets deluxe,new,no_match,828298,Diablo Buffalo Crispy Chicken Burrito,0.429
4d96a079482ea4b1,3704Main,dirty mtn dew baja blast soda,new,low_confidence,216660,Mtn Dew&reg; Baja Blast Freeze&trade; (32 oz),0.5
31698700c728d932,29072,discovery luxe,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
f903f7c7f5e9c4cb,23833,discovery luxe,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
ad4906fd47d753a4,91325,discovery luxe,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
9cf411cf38bf4c37,23839,discovery luxe,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
f981da74395e2a17,24587,discovery luxe,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
60ee012fc262477a,24588,discovery luxe,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
e9443daaebddd4df,3658Main,dragonfruit berry limonada,new,low_confidence,889511,Dragonfruit Strawberry Limonada,0.5
2543a4c59d32e455,1473Main,dragonfruit freeze no syrup,new,no_match,313546,Dragonfruit Freeze&reg; (16 oz),0.4
d66e53c134caf880,30218,dulce de leche cinnabon delights 12pk,new,no_match,166765,Cinnabon&reg; Delights&trade; (12 Pack - Serves 4),0.333
95c122367dcaecc9,30217,dulce de leche cinnabon delights 2pk,new,no_match,166765,Cinnabon&reg; Delights&trade; (12 Pack - Serves 4),0.333
485ed28993b77d27,5295Main,frozen mexican hot cocoa,new,no_match,166804,Mexican Pizza,0.2
b002be499b906a37,3680Main,gatorade cool blue,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
89a49caa0074bd94,1438Main,gatorade lemon lime,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
7c50fbb64278a644,23830,jalape o ranch nacho fries,new,no_match,828300,Diablo Buffalo Chicken Nacho Fries,0.286
4ea0586b610e5979,23831,jalape o ranch nacho fries veggie,new,no_match,828300,Diablo Buffalo Chicken Nacho Fries,0.25
0fa7d3f0e045487b,3737Main,lemonade frost,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
5f939042e1394c45,3652Main,limonada freeze,new,no_match,313546,Dragonfruit Freeze&reg; (16 oz),0.25
3d95c12e088a5f37,29097,loaded taco nacho fries,new,no_match,166781,Nacho Cheese Doritos&reg; Locos Taco,0.286
9a63b02e36464e12,29436,loaded taco topped fries,new,no_match,166772,Crunchy Taco,0.2
37ec7a541b97cc4e,23562,luxe cravings,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
39270986c643d445,23540,luxe cravings,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
bd32c593a5c33f0e,3464Main,mango peach agua refresca,new,no_match,829826,Mango Peach Limonada,0.4
a85fbae2492d4bf6,3720Main,mexican chocolate churro chiller,new,no_match,166804,Mexican Pizza,0.2
de68bb7d2d774aae,5296Main,mexican hot cocoa,new,no_match,166804,Mexican Pizza,0.25
7081d94106e256e9,3673Main,mexican mocha hot coffee,new,no_match,166804,Mexican Pizza,0.2
54104e751a393777,3665Main,mexican mocha iced coffee,new,no_match,166804,Mexican Pizza,0.2
e10915b6b87fd93a,3731Main,mexican mocha latte chiller,new,no_match,166804,Mexican Pizza,0.2
049c100f0154746e,1422Main,midnight cherry freeze,new,no_match,313546,Dragonfruit Freeze&reg; (16 oz),0.2
45f35424d1fa3ea7,3782Main,mountain dew baja midnight,new,no_match,216660,Mtn Dew&reg; Baja Blast Freeze&trade; (32 oz),0.25
bed34b3fc907f995,1507Main,mountain dew baja midnight freeze,new,no_match,216660,Mtn Dew&reg; Baja Blast Freeze&trade; (32 oz),0.375
677ef8f9f7508538,2077Main,mtn dew baja blast dirty freeze,new,low_confidence,216660,Mtn Dew&reg; Baja Blast Freeze&trade; (32 oz),0.714
a4fd5148c215039a,23468,mtn dew baja blast gelato,new,low_confidence,216660,Mtn Dew&reg; Baja Blast Freeze&trade; (32 oz),0.571
c16b9549fa61772d,26087,quesarito,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
53b6158d5495ef13,3675Main,rockstar energy original can,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
ea09530b25b86b40,25504,salted caramel churros 3pk,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
04c194dc6a0e5d75,23519,slow roasted chicken cheesy dipping burritos,new,no_match,166758,Quesadilla - Chicken,0.143
eab6fc6048465bea,29055,spicy ranchero crispy chicken burrito,new,no_match,828298,Diablo Buffalo Crispy Chicken Burrito,0.429
1df17ee372312795,29054,spicy ranchero crispy chicken taco,new,low_confidence,423320,Cantina Chicken Crispy Taco,0.5
98d6dc4a71a54dd6,23518,steak cheesy dipping burritos,new,no_match,166846,Quesadilla - Steak,0.2
3ad52b7e3372b903,23891,steak garlic nacho fries,new,no_match,828300,Diablo Buffalo Chicken Nacho Fries,0.286
ab01868eec2c8a58,23892,steak garlic nacho fries,new,no_match,828300,Diablo Buffalo Chicken Nacho Fries,0.286
1c8a08892dc3186b,3670Main,strawberry lime refresca freeze,new,no_match,889510,Strawberry Dream Refresca,0.4
1dae08c473b276ce,3640Main,strawberry limonada freeze,new,low_confidence,829822,Strawberry Passionfruit Limonada,0.5
390125ba49717851,3724Main,strawberry matcha chiller,new,no_match,829822,Strawberry Passionfruit Limonada,0.2
460ac2cc64ebb549,3462Main,strawberry passionfruit agua refresca,new,no_match,829822,Strawberry Passionfruit Limonada,0.4
3f191163f572f9fb,23465,strawberry twists,new,no_match,166768,Cinnamon Twists (V),0.333
8baecc2567f51e1d,29096,supreme nacho fries,new,no_match,828300,Diablo Buffalo Chicken Nacho Fries,0.333
3ff93c1b79825784,3666Main,vanilla crema hot coffee,new,no_match,388308,Vanilla Creamer,0.2
fe8ae9f737754760,3663Main,vanilla crema iced coffee,new,no_match,388308,Vanilla Creamer,0.2
ace577a2a7232340,3729Main,vanilla crema latte chiller,new,no_match,388308,Vanilla Creamer,0.2
6dedefa722336773,3644Main,vanilla creme limonada freeze,new,no_match,854339,Vanilla Cream Soda Freeze&trade; (16 oz),0.286
a7130e294472845c,28203,vegan nacho fries,new,no_match,828300,Diablo Buffalo Chicken Nacho Fries,0.333
17894a38c870e5ec,28202,vegan nacho fries,new,no_match,828300,Diablo Buffalo Chicken Nacho Fries,0.333
50b4f482232df73d,26086,volcano quesarito,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
4b5a89ab53782b31,3722Main,wild strawberry churro chiller,new,no_match,829822,Strawberry Passionfruit Limonada,0.167
ec235994a7bc6caf,3568Main,wild strawberry creme delight freeze,new,no_match,313546,Dragonfruit Freeze&reg; (16 oz),0.143
31d2a8ba5b8541de,3676Main,yachak yerba mate energy passion fruit,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
da9aada3440dffd0,3677Main,yachak yerba mate energy ultimate mint,new,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
c1202341befbe27b,23155,build your own cravings,online-exclusives,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
0f36a38e536bb638,21210,drinks,online-exclusives,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
73f131802f007014,23218,meal for 2,online-exclusives,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
12e3b2bd8af2e451,23220,meal for 4,online-exclusives,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
5f6db7a43f7aa19e,91280,meal for 4,online-exclusives,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
c739fe7a587dc537,27240,veggie build your own cravings,online-exclusives,no_match,166734,Veggie Bowl,0.167
56547fd70f7b3142,23219,veggie meal for 2,online-exclusives,no_match,166734,Veggie Bowl,0.333
650b02e07e2a2853,91281,veggie meal for 2,online-exclusives,no_match,166734,Veggie Bowl,0.333
b016c76300f687f6,550561,delivery lover s pass,passes,no_match,166711,Breakfast Crunchwrap - Bacon,0.0
fe4d9cc90e6118e4,22488,power menu bowl,power-menu,no_match,166734,Veggie Bowl,0.25
23ff97fefb2e10e7,22490,power menu bowl veggie,power-menu,low_confidence,166734,Veggie Bowl,0.5
efa76a34651768ac,22722,avocado ranch sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.2
bcf1a81a2c8ff1e9,5539,avocado ranch sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.2
ad1b56c88f0f5b42,3639,bell sauce dip sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.2
ae8710c6f0eb684f,23331,big cheez it cracker,sides-sweets,no_match,166751,Cheesy Fiesta Potatoes (V),0.0
c25318992d095e45,22732,chipotle sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.25
0141e6b941e16f22,5545,chipotle sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.25
ffeafc320243de1e,4365,creamy garlic sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.2
3dac02bb6ef1b766,22731,creamy jalape o sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.2
9e427ef3d5d0fd98,5527,creamy jalape o sauce,sides-sweets,no_match,314994,Mild Sauce Packet (V),0.2
