product_code,item_name
22759,Fire Sauce Packet
22765,Diablo Sauce Packet
22741,Jalapeño Peppers
22746,Nacho Cheese Sauce
22754,Reduced-Fat Sour Cream
22731,Creamy Jalapeño Sauce
22740,Guacamole
22732,Chipotle Sauce
22722,Avocado Ranch Sauce
2521,Spicy Ranch
22750,Red Sauce
22738,Green Sauce
22749,Mexican Pizza Sauce
1504Main,Vanilla Cream Soda Freeze
1496Main,Orange Vanilla Cream Soda Freeze
3782Main,Mountain Dew Baja Midnight™
3717Main,Strawberry Passionfruit Agua Refresca
3719Main,Mango Peach Agua Refresca
3718Main,Dragonfruit Strawberry Agua Refresca
3660Main,Tropical Punch Rockstar® Energy Refresca
3669Main,Pineapple Lime Rockstar® Energy Refresca
1634Main,Wild Strawberry Freeze
1491Main,MTN DEW® Baja Blast® Freeze
1002Main,Pepsi®
1007Main,Diet Pepsi®
1107Main,Pepsi® Zero Sugar
1012Main,MTN DEW®
1147Main,MTN DEW® Zero
1027Main,MTN DEW® Baja Blast®
1110Main,MTN DEW® Baja Blast™ Zero Sugar
1017Main,Dr Pepper®
1062Main,Mug® Root Beer
1153Main,Starry®
1099Main,G2 Gatorade® Fruit Punch
3077Main,Tropicana® Original Lemonade
1219Main,Brisk® Mango Fiesta
1077Main,Lipton® Unsweetened Iced Tea
1966Main,Aquafina® Bottled Water
1440Main,Tropicana® Orange Juice
1450Main,Milk
1527Main,Premium Hot Coffee
1280Main,Hot Cinnabon Delights® Coffee
1534Main,Regular Iced Coffee
1281Main,Iced Cinnabon Delights® Coffee
21210,Drinks Party Pack
23473,Cantina Chicken Bowl
29132,Veggie Bowl
23219,Veggie Meal for 2
29132,Veggie Bowl
22200,Bean Burrito
22283,Cheesy Bean and Rice Burrito
22259,Spicy Potato Soft Taco
23153,Black Bean Chalupa Supreme
26051,Black Bean Crunchwrap Supreme®
23326,Veggie Mexican Pizza
22320,Cheese Quesadilla
22152,Cheesy Roll Up
22530,Cheesy Fiesta Potatoes
23318,Chips and Guacamole
22500,Chips and Nacho Cheese Sauce
22394,Black Beans
22393,Black Beans and Rice
22510,Pintos N Cheese
22525,Cinnamon Twists
30046,Cinnabon Delights® 2 Pack
30045,Cinnabon Delights® 12 Pack
